RouteNumber	StateNumber	AvgSpeedDozor	AvgSpeedRecalculated
Номер маршруту	Державний номер	Середня швидкість (вимір. dozor)	Середня швидкість (перерахована)
21	АТ2732АА	7.1831	7.6271
21	АТ2752АА	4.6792	4.623
22	АТ0382СІ	0.23884	0.031124
22	АТ6651ВН	10.662	10.38
22	АТ6901СА	10.034	10.56
22	АТ5589ВІ	19.275	11.96
22	АТ1692АА	9.7949	6.8876
22	АТ1126АА	9.3179	9.8783
23	АТ0812АА	4.0484	4.1908
23	АТ0808АА	0.033776	0.025244
23	АТ0807АА	0.0	0.0
26	АТ2131АА	17.481	12.999
26	АТ2755АА	2.6393	2.3935
26	АТ0823АА	0.0	0.0
26А	АТ2793АА	0.0	0.0
25	АТ0741АА	4.7602	4.4985
25	АТ0864АА	0.0	0.0
25	АТ1596АА	0.0	0.0
25	АТ0865АА	5.8585	4.0986
25	АТ0838АА	3.9556	0.90526
25	АТ1117АА	0.0	0.0
24	АТ7432CА	0.008245	0.09789
24	АТ5390АА	20.308	17.448
24	АТ1959АА	7.403	7.5116
24	АТ0730АА	10.708	10.812
24	АТ2770АА	9.7546	9.6252
29	АТ0803АА	2.5415	1.3326
29	АТ0802АА	0.060571	0.055527
29	АТ1072АА	1.907	0.69008
29	АТ0809АА	0.0	0.0
29	АТ0745АА	0.0	0.0
30	АТ2682АА	8.2609	5.7914
30	АТ2671АА	16.593	10.006
30	АТ0701АА	1.7975	0.71425
30	АТ3869АА	2.5126	2.5961
30	АТ2059АА	9.9062	7.2095
30	АТ0516АА	13.695	8.9379
30	АТ2060АА	16.378	10.773
31	АТ2875АА	5.574	5.5963
31	АТ0837АА	2.7537	2.5781
27	АТ2776АА	10.84	12.335
27	АТ2862АА	10.295	10.949
27	АТ2863АА	9.1558	9.6808
27	АТ4609СТ	9.1824	10.448
27	АТ4601СТ	9.0652	10.489
27	АТ2866АА	11.0	11.319
28	АТ1165АА	0.0	0.0
28	АТ0971АА	10.332	7.5373
28	АТ1158АА	3.9143	3.8013
28	АТ2468АА	11.262	8.9684
28	АТ1073АА	14.543	10.64
28	АТ1160АА	11.835	8.4629
28	АТ1164АА	18.069	12.172
28	АТ1825АА	20.28	14.352
28	АТ1130АА	14.337	13.262
28	АТ1156АА	10.166	7.5109
28	АТ1533АА	7.7967	5.6391
28	АТ0970АА	15.914	16.479
28	АТ1386АА	6.0411	4.9009
32	АТ1142АА	0.0	0.0
