lat_ctr,lng_ctr,lat_pt,lng_pt,StopName,UsedByRoute
48.925857,24.722887,48.925855,24.722874,Вокзал (в бік Пасічної),2
48.926259,24.716631,48.926259,24.716631,Крок,2
48.92355,24.720589,48.923546,24.720587,вулиця Гаркуші,2
48.917823,24.722793,48.917823,24.722793,"кінотеатр ""Космос""",2
48.916028,24.734465,48.916032,24.734461,Школа №15,2
48.914004,24.747381,48.914036,24.747401,вулиця Декабристів,2
48.912345,24.758394,48.912339,24.758404,с. Угорники,2
48.910552,24.764369,48.910537,24.764368,АС-4,2
48.905883,24.761257,48.905883,24.761259,Управління патрульної поліції,2
48.902467,24.758827,48.902467,24.758827,АТП,2
48.894583,24.753326,48.894554,24.753328,"""Автоливмаш""",2
48.890954,24.749425,48.890954,24.749425,"""Пресмаш""",2
48.890347,24.747584,48.890347,24.747584,"""Пресмаш"" розворотне кільце",2
48.891368,24.7503,48.891368,24.7503,"""Пресмаш"" в центр",2
48.895586,24.754153,48.895586,24.754153,"""Автоливмаш""",2
48.902911,24.759273,48.902911,24.759273,АТП,2
48.907036,24.76218,48.907036,24.76218,Управління патрульної поліції,2
48.910048,24.764175,48.91004,24.764174,АС-4,2
48.912723,24.756429,48.912723,24.756431,с. Угорники,2
48.913881,24.748968,48.913878,24.748971,вулиця Декабристів,2
48.916295,24.733237,48.916299,24.733232,Школа №15,2
48.918048,24.72198,48.918048,24.72198,"кінотеатр ""Космос""",2
48.941197,24.740901,48.941197,24.740901,"АТ ""Родон""",3
48.941028,24.745502,48.941028,24.745502,вулиця Симоненка,3
48.938911,24.74978,48.938911,24.74978,вулиця Бугая,3
48.936896,24.749286,48.936901,24.749283,вулиця Миколайчука,3
48.935672,24.744536,48.935672,24.744536,"вулиця В. Стуса (Ринок ""Східний"")",3
48.93486,24.742804,48.93486,24.742804,"магазин ""Барвінок""",3
48.931394,24.742972,48.931394,24.742972,"ТЦ ""Епіцентр"" (вул. Івасюка - Івана Павла ІІ)",3
48.928282,24.743077,48.928287,24.743071,вулиця Івасюка,3
48.923801,24.743212,48.923803,24.743209,вулиця Хоткевича,3
48.918606,24.742514,48.918606,24.742514,вулиця Кисілевської,3
48.916295,24.733237,48.916299,24.733232,Школа №15,3
48.918048,24.72198,48.918048,24.72198,"кінотеатр ""Космос""",3
48.920663,24.719585,48.920659,24.719588,на вимогу,3
48.925857,24.722887,48.925855,24.722874,Вокзал (в бік Пасічної),3
48.926259,24.716631,48.926259,24.716631,Крок,3
48.928853,24.713552,48.928853,24.713552,вулиця Василіянок,3
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",3
48.940222,24.701047,48.940222,24.701047,вулиця Целевича,3
